Source,Target,Type,Id,Label,timeset,Weight,,,Id,Label
Huffington Post,census.gov,Directed,480,,,50,,,,
Huffington Post,Twitter,Directed,481,,,21,,,,
Huffington Post,Pew Research,Directed,482,,,19,,,,
Huffington Post,documentcloud.org,Directed,483,,,15,,,,
Huffington Post,New York Times,Directed,484,,,13,,,,
Huffington Post,Washington Post,Directed,485,,,11,,,,
Huffington Post,propublica.org,Directed,486,,,11,,,,
Huffington Post,Mother Jones,Directed,487,,,5,,,,
Huffington Post,factfinder.census.gov,Directed,488,,,4,,,,
Huffington Post,NPR,Directed,489,,,4,,,,
Huffington Post,The Atlantic,Directed,490,,,3,,,,
Huffington Post,Guardian US,Directed,491,,,3,,,,
Huffington Post,Economic Policy Institute,Directed,492,,,3,,,,
Huffington Post,Vox,Directed,493,,,3,,,,
Huffington Post,Wikipedia,Directed,494,,,2,,,,
Huffington Post,brookings.edu,Directed,495,,,2,,,,
Huffington Post,bls.gov,Directed,496,,,2,,,,
Huffington Post,The Sacramento Bee,Directed,497,,,2,,,,
Huffington Post,The Conversation US,Directed,498,,,2,,,,
Huffington Post,YouTube,Directed,499,,,1,,,,
Huffington Post,Breitbart,Directed,500,,,1,,,,
